,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
72,689000.0,66643 Deerwood Ln,3.0,House for sale,Washington,MI 48095,4.0,3354.0,MI,48095,99,77656
73,760000.0,20 Harvard Pl,4.0,House for sale,Ann Arbor,MI 48104,3.0,1932.0,MI,48104,161,NA
74,250000.0,10671 Crabb Rd,3.0,House for sale,Temperance,MI 48182,2.0,2439.0,MI,48182,115,75882
75,249900.0,5757 Head Lake Rd,3.0,House for sale,Hastings,MI 49058,1.0,1260.0,MI,49058,15,60838
76,355000.0,2647 Gary Ave,3.0,House for sale,Brighton,MI 48114,3.0,1742.0,MI,48114,93,106354
77,135000.0,1917 W Miller Rd,3.0,House for sale,Lansing,MI 48911,2.0,1080.0,MI,48911,45,80227
78,399000.0,2150 E Coon Lake Rd,3.0,House for sale,Howell,MI 48843,2.0,1570.0,MI,48843,93,106354
79,375000.0,33132 Shiawassee Rd,4.0,House for sale,Farmington,MI 48336,4.0,2093.0,MI,48336,125,59762
80,205000.0,558 Green Cove Dr,3.0,Foreclosure,Holly,MI 48442,2.0,2040.0,MI,48442,49,42019
81,100000.0,894 Sunningdale Dr,3.0,House for sale,Inkster,MI 48141,2.0,966.0,MI,48141,163,55023
82,195000.0,1220 Orchard St,3.0,House for sale,Ferndale,MI 48220,1.0,880.0,MI,48220,125,59762
83,145000.0,2354 Murphy Rd,3.0,House for sale,Flint,MI 48504,2.0,1417.0,MI,48504,49,42019
84,249900.0,4478 S Morey Rd,4.0,House for sale,Lake City,MI 49651,1.0,1998.0,MI,49651,113,53516
85,109000.0,426 Michigan St,4.0,House for sale,Lapeer,MI 48446,2.0,1720.0,MI,48446,87,80929
86,253900.0,5390 12th Rd,3.0,House for sale,Escanaba,MI 49829,3.0,3700.0,MI,49829,41,44718
87,79900.0,23434 Lake Dr,3.0,House for sale,Cassopolis,MI 49031,1.0,1032.0,MI,49031,27,51821
88,279000.0,1220 Fairbanks St,3.0,House for sale,Iron Mountain,MI 49801,3.0,2438.0,MI,49801,43,38980
89,134900.0,1705 S Harrison Ave,3.0,Coming soon,Harrison,MI 48625,2.0,912.0,MI,48625,113,53516
